"verb","noun","plural","provenance","kind","obs"
"conhecer","conhecimento","conhecimentos","framenet",NA,""
"conivir","conivência","conivências","nomlex",NA,""
"conjecturar","conjectura",NA,"openWordnet-PT",NA,NA
"conjuntar","conjunção","conjunções","nomlex",NA,""
"conotar","conotação","conotações","nomlex",NA,""
"consentir","consentimento","consentimentos","nomlex",NA,""
"consertar","consertador",NA,NA,"agent",""
"consertar","conserto","consertos",NA,NA,""
"conservar","conservador","conservadores",NA,"agent",""
"conservar","conservação","conservações","nomlex",NA,""
"considerar","consideração","cosiderações","nomlex",NA,""
"consignar","consignação","consignações","nomlex",NA,""
"consolar","consolador","consoladores","","agent",""
"consolar","consolação","consolações","nomlex",NA,""
"consolar","consolo","consolos","enwiktionary:en",NA,""
"consolidar","consolidação","consolidações","nomlex",NA,""
"conspirar","conspiração",NA,"dhbb",NA,NA
"constatar","constatação","constatações","nomage: constatation",NA,""
"consternar","consternação","constenações","nomage: consternation",NA,""
"constituir","constituinte",NA,NA,"agent",""
"constituir","constituição","constituições","nomlex",NA,""
"constringir","constrição","constrições","nomlex",NA,""
"construir","construtor","construtores","nomlex","agent",""
"construir","construção","construções","nomlex",NA,""
"consultar","consultor","consultores",NA,"agent",""
"consultar","consulta","consultas","nomlex",NA,""
"consumir","consumidor","consumidores","nomlex","agent",""
"consumir","consumação","consumações","nomlex",NA,""
"consumir","consumição","consumições","nomlex",NA,""
"consumir","consumo","consumos","nomlex",NA,""
"contactar","contato","contatos","nomlex",NA,""
"contaminar","contaminante",NA,NA,"agent",""
"contaminar","contaminação","contaminações","nomlex",NA,""
"contar","contador","contadores","nomlex","agent",""
"contar","conta","contas","nomlex",NA,""
"contar","contagem","contagens","nomlex",NA,""
"contatar","contato","contatos","enwiktionary:en",NA,""
"contemplar","contemplação","contemplações","nomlex",NA,""
"contentar","contentamento","contentamentos","nomlex",NA,""
"conter","contenção","contenções","nomlex",NA,""
"conter","conteúdo","conteúdos","nomlex",NA,""
"contestar","contestador",NA,NA,"agent",""
"contestar","contestação","contestações","nomlex",NA,""
"continuar","continuador",NA,NA,"agent",""
"continuar","continuação","continuações","nomlex",NA,""
"continuar","continuidade",NA,"dhbb",NA,NA
"contornar","contorno","contornos","framenet",NA,""
"contrabandear","contrabandista","contrabandistas","","agent",""
"contrabandear","contrabando","contrabandos","enwiktionary:pt",NA,""
"contradizer","contradição","contradições","nomlex",NA,""
"contrair","contração","contrações","nomlex",NA,""
"contrair","contratura",NA,"openWordnet-PT",NA,NA
"contrastar","contraste","contrastes","nomlex",NA,""
"contratar","contratador","contratadores","nomlex","agent",""
"contratar","contratação","contratações","nomlex",NA,""
"contratar","contrato","contratos","framenet",NA,""
"contribuir","contributor",NA,NA,"agent",""
"contribuir","contribuição","contribuições","nomlex",NA,""
"controlar","controlador",NA,NA,"agent",""
"controlar","controle","controles","nomlex",NA,""
"convencer","convencido",NA,NA,"agent",""
"convencer","convicção","convicções","nomlex","lex",""
"convergir","convergência","convergências","nomage: convergence",NA,""
"conversar","conversador","conversadores","","agent",""
"conversar","conversa","conversas","nomlex",NA,""
"conversar","conversação","conversações","nomlex",NA,""
"converter","conversador",NA,NA,"agent",""
"converter","conversão","conversões","nomlex",NA,""
"convidar","convidado",NA,NA,"agent",""
"convidar","convite","convites","nomlex",NA,""
"convocar","convocatoria",NA,NA,"agent",""
"convocar","convocação","convocações","nomage: convocation",NA,""
"cooperar","cooperação","co-operações","nomlex",NA,""
"cooptar","cooptação","cooptações","nomlex",NA,""
"coordenar","coordenador",NA,NA,"agent",""
"coordenar","coordenação","coordenações","nomlex","lex",""
"copiar","copiadora","copiadoras","nomlex","lex",""
"coproduzir","coprodução","coproduções","nomage: coproduction",NA,""
"correlatar","correlação","correlações","nomlex",NA,""
"correr","corredor",NA,NA,"agent",""
"correr","corrida","corridas","nomlex",NA,""
"correr","corredura",NA,"openWordnet-PT",NA,NA
"corrigir","corregedor",NA,NA,"agent",""
"corrigir","correção","correções","nomlex","lex",""
"corroer","corrosivo",NA,NA,"agent",""
"corroer","corrosão","corrosões","nomlex",NA,""
"corromper","corrupto",NA,NA,"agent",""
"corromper","corrupção","corrupções","nomlex",NA,""
"cortar","corte","cortes","nomage: coupure",NA,""
"coser","cosedura",NA,"openWordnet-PT",NA,NA
"costurar","costura",NA,"openWordnet-PT",NA,NA
"cotar","cotação","cotações","nomlex",NA,""
"cozer","cozedura",NA,"openWordnet-PT",NA,NA
"cozinhar","cozinheiro","cozinheiros","framenet","agent",""
"creditar","credor","credores",NA,"agent",""
"creditar","acreditação","acreditações","nomlex",NA,""
"creditar","crédito",NA,"dhbb",NA,NA
"crescer","crescimento","crescimentos","enwiktionary:pt",NA,""
"criar","criador","criadores",NA,"agent",""
"criar","criação","criações","nomlex",NA,""
"criar","criatura",NA,"openWordnet-PT",NA,NA
"criticar","crítico","críticos",NA,"agent",""
"criticar","criticismo","criticismos","nomlex",NA,""
"criticar","crítica",NA,"dhbb",NA,NA
"cronometrar","cronômetro",NA,NA,"agent",""
"cronometrar","cronometragem","cronometragens","nomage: échelonnement",NA,""
"culminar","culminação","culminações","nomlex",NA,""
"culpar","culpa","culpas","framenet",NA,""
"culpar","culpado","culpados","nomlex",NA,""
"cultivar","cultivador","cultivadores","nomlex","agent",""
"cultivar","cultivação","cultivações","nomlex",NA,""
"cultivar","cultivo","cultivos","nomlex",NA,""
"cumprir","cumpridor","cumpridores","","agent",""
"cumprir","cumprimento","cumprimentos","nomlex",NA,""
"curar","curandeiro","curandeiros","framenet","agent",""
"curar","curativo","curativos","nomage: habillage","agent",""
"curar","cura","curas","framenet",NA,""
"cursar","curso",NA,"dhbb",NA,NA
"curvar","curva","curvas","enwiktionary:en",NA,""
"curvar","curvatura",NA,"openWordnet-PT",NA,NA
"custar","custo","custos","nomlex",NA,""
"custear","custeio","custeios","nomlex",NA,""
"danar","danado",NA,NA,"agent",""
"danar","dano","danos","nomlex",NA,""
"dançar","dançarino","dançarinos","nomlex","agent",""
"dançar","dança","danças","nomlex",NA,""
"debandar","debandada","debandadas","nomage: débandade",NA,""
"debater","debatedor",NA,NA,"agent",""
"debater","debate","debates","nomlex",NA,""
"decair","decaimento","decaimentos","enwiktionary:en",NA,""
"decantar","decantador",NA,NA,"agent",""
"decantar","decantação","decantações","enwiktionary:en","lex",""
"decapitar","decapitação","decapitações","enwiktionary:pt",NA,""
"decentralizar","decentralização","decentralizações","nomage: décentralisation",NA,""
"decepcionar","decepção","decepções","enwiktionary:pt",NA,""
"decidir","decisão","decisões","nomlex",NA,""
"declarar","declarante",NA,NA,"agent",""
"declarar","declaração","declarações","nomlex","lex",""
"decolar","decolagem","decolagens","nomlex",NA,""
"decompor","decomposição","decomposições","nomlex",NA,""
"decorar","decorador",NA,NA,"agent",""
"decorar","decoração","decorações","nomlex","lex",""
"decorrer","decorrência",NA,"dhbb",NA,NA
"decretar","decreto","decretos","nomlex",NA,""
"decretar","decretação",NA,"dhbb",NA,NA
"dedicar","dedicação","dedicações","nomlex",NA,""
"deduzir","dedução","deduções","nomlex",NA,""
"defender","defesa",NA,"dhbb",NA,NA
"defender","defensor",NA,"dhbb","agent",NA
"deferir","deferimento","deferimentos","nomlex",NA,""
"definhar","definhamento","definhamentos","nomlex",NA,""
"definir","definição","definições","nomlex",NA,""
"deformar","deformação","deformações","nomage: déformation",NA,""
"degradar","degradação","degradações","nomage: dégradation",NA,""
"delegar","delegado",NA,NA,"agent",""
"delegar","delegação","delegações","nomlex","lex",""
"deliberar","deliberação","deliberações","nomlex",NA,""
"delimitar","delimitador",NA,NA,"agent",""
"delimitar","delimitação","delimitações","nomage: délimitation",NA,""
"delongar","delonga","delongas","enwiktionary:en",NA,""
"demandar","demanda","demandas","nomlex",NA,""
"demitir","demitido","demitidos",NA,"agent",""
"demitir","demissão","demissões","nomlex",NA,""
"democratizar","democratização","democratizações","nomlex",NA,""
"demolir","demolição","demolições","nomlex",NA,""
"demonstrar","demonstrador",NA,NA,"agent",""
"demonstrar","demonstração","demonstrações","nomlex",NA,""
"demorar","demora","demoras","enwiktionary:en",NA,""
"denominar","denominados",NA,NA,"agent",""
"denominar","denominação","denominações","nomlex",NA,""
"denunciar","denunciante",NA,NA,"agent",""
"denunciar","denúncia","denúncias","nomlex",NA,""
"denunciar","denunciação","denunciações","nomlex",NA,""
"depender","dependente",NA,NA,"agent",""
"depender","dependência","dependências","nomlex","lex",""
"depletir","depleção","depleções","nomlex",NA,""
"depor","depoente",NA,NA,"agent",""
"depor","depoimento","depoimentos","nomlex",NA,""
"depor","deposição","deposições","nomlex",NA,""
"depositar","depositante",NA,NA,"agent",""
"depositar","depósito","depósitos","nomlex","lex",""
"depreciar","depreciação","depreciações","nomlex",NA,""
"deprimir","depressão","depressões","nomlex","result; lex",""
"deputar","deputado",NA,"dhbb",NA,NA
"deridir","derisão","derisões","nomlex",NA,""
"derivar","derivada","derivadas","enwiktionary:en","lex",""
"derivar","derivação","derivações","nomlex",NA,""
"derramar","derramamento","derramamentos","nomage: renversement",NA,""
"derrapar","derrapagem","derrapagens","nomage: dérapage",NA,""
"derrogar","derrogação","derrogações","nomlex",NA,""
"derrotar","derrota",NA,"dhbb",NA,NA
"desacelerar","desaceleração","desacelerações","nomage: décélération",NA,""
"desafiar","desafiador",NA,NA,"agent",""
"desafiar","desafio","desafios","nomlex",NA,""
"desagregar","desagregação","desagregações","nomlex",NA,""
"desalavancar","desalavancagem","desalavancagens","nomage: désendettement",NA,""
"desanimar","desânimo","desânimos","nomlex",NA,""
"desaparecer","desaparecido",NA,NA,"agent",""
"desaparecer","desaparecimento","desaparecimentos","nomlex",NA,""
"desaparecer","desaparição","desaparições","framenet",NA,""
"desapontar","desapontado",NA,NA,"agent",""
"desapontar","desapontamento","desapontamentos","nomlex",NA,""
"desapropriar","desapropriação",NA,"dhbb",NA,NA
"desaprovar","desaprovação","desaprovações","nomlex",NA,""
"desarmar","desarmamento","desarmamentos","nomlex",NA,""
"descarregar","descarga","descargas","nomlex","event; lex",""
"descarrilhar","descarrilhamento","descarrilhamentos","nomlex",NA,""
"descender","descendente",NA,NA,"agent",""
"descender","descendência","descendências","nomlex",NA,""
"descer","descida","descidas","nomlex",NA,""
"descobrir","descobridor","descobridores","","agent",""
"descobrir","descoberta","descobertas","nomlex",NA,""
"desconcentrar","desconcentração","desconcentrações","nomage: déconcentration",NA,""
"desconfiar","desconfiança","desconfianças","nomage: défiance",NA,""
"desconfortar","desconforto","desconfortos","enwiktionary:en",NA,""
"descontaminar","descontaminação","descontaminações","framenet",NA,""
"descontentar","descontente",NA,NA,"agent",""
"descontentar","descontentamento","descontentamentos","nomage: mécontentement",NA,""
"descontinuar","descontinuação","descontinuações","nomlex",NA,""
"descrever","descrição","descrições","nomlex",NA,""
"desculpar","desculpa","desculpas","nomlex",NA,""
"desdenhar","desdém","desdéns","framenet",NA,""
"desejar","desejo","desejos","nomlex",NA,""
"desembocar","desembocadura",NA,"openWordnet-PT",NA,NA
"desembolsar","desembolso","desembolsos","nomlex",NA,""
"desempenhar","desempenho",NA,"dhbb",NA,NA
"desempregar","desempregado",NA,NA,"agent",""
"desempregar","desemprego","desempregos","nomage: chômage",NA,""
"desenganar","desengano","desenganos","enwiktionary:en",NA,""
"desenhar","desenhista","desenhistas","nomlex","agent",""
"desenhar","desenho","desenhos","nomlex",NA,""
"desenvolver","desenvolvedor","desenvolvedores","nomlex","agent",""
"desenvolver","desenvolvimento","desenvolvimentos","nomlex",NA,""
"desfalcar","desfalque","desfalques","nomlex",NA,""
"desfragmentar","desfragmentador","desfragmentadores","","agent",""
"desfragmentar","desfragmentação","desfragmentações","enwiktionary:en",NA,""
"desgovernar","desgoverno","desgovernos","nomlex",NA,""
"designar","designação","designações","nomlex",NA,""
"desiludir","desilusão","disilusões","nomlex",NA,""
"desimpedir","desimpedimento","desimpedimentos","nomage: désengagement",NA,""
"desindexar","desindexação","desindexações","nomage: désindexation",NA,""
"desinstalar","desinstalador","desinstaladores","enwiktionary:pt","agent",""
"desintegrar","desintegração","desintegrações","nomlex",NA,""
"desinvestir","desinvestimento","desinvestimentos","nomage: désinvestissement",NA,""
"desistir","desistência","desistências","nomlex",NA,""
"deslizar","deslizamento","deslizamentos","nomage: glissade",NA,""
"deslocalizar","deslocalização","delocalizações","nomage: délocalisation",NA,""
"deslocar","deslocação","deslocações","nomlex",NA,""
"deslocar","deslocamento","deslocamentos","nomlex",NA,""
"desmantelar","desmantelador",NA,NA,"agent",""
"desmantelar","desmantelamento","desmantelamentos","nomage: démantèlement",NA,""
"desmembrar","desmembramento","desmembramentos","nomlex",NA,""
"desmontar","desmontador",NA,NA,"agent",""
"desmontar","desmontagem","desmontagens","nomage: démantèlement",NA,""
"desmotivar","desmotivador","desmotivadores","enwiktionary:pt","agent",""
"desmotivar","desmotivação","desmotivações","enwiktionary:pt",NA,""
"desnacionalizar","desnacionalização","desnacionalizações","nomage: dénationalisation",NA,""
"desolar","desolação","desolações","nomlex",NA,""
"despejar","despejo","despejos","nomage: éviction",NA,""
"desperdiçar","desperdiçador",NA,NA,"agent",""
"desperdiçar","desperdício","desperdícios","framenet",NA,""
"desprender","desprendimento","desprendimentos","enwiktionary:en",NA,""
"desprezar","desprezo","desprezos","framenet",NA,""
"desregular","desregulamentação","desregulamentações","nomlex",NA,""
"destacar","destaque",NA,NA,"agent",""
"destacar","destacamento","destacamentos","nomage: détachement",NA,""
"destilar","destilador","destiladores","","agent",""
"destilar","destilado",NA,NA,"agent",""
"destilar","destilação","destilações","nomlex",NA,""
"destilar","destilaria","destilarias","enwiktionary:pt",NA,""
"destinar","destinatário","destinatários","nomlex",NA,""
"destruir","destruidor","destruidores","enwiktionary:pt","agent",""
"destruir","destruição","destruições","nomlex",NA,""
"desvalorizar","desvalorização","desvalorizações","nomlex",NA,""
"desviar","desvio","desvios","nomlex",NA,""
"detectar","detector",NA,NA,"agent",""
"detectar","detecção","detecções","nomlex",NA,""
"deter","detentor","detentores","nomlex","agent",""
"deter","detidos",NA,NA,"agent",""
"deter","detenção","detenções","nomlex",NA,""
"deteriorar","deterioração","deteriorações","nomlex",NA,""
"determinar","determinante",NA,NA,"agent",""
"determinar","determinação","determinações","nomage: détermination",NA,""
"detonar","detonador",NA,NA,"agent",""
"detonar","detonação","detonações","nomlex","lex",""
"deturpar","deturpador",NA,NA,"agent",""
"deturpar","deturpação","deturpações","nomlex",NA,""
"devassar","devasso",NA,NA,"agent",""
"devassar","devassidão","devassidões","nomlex",NA,""
"devastar","devastação","devastações","nomlex",NA,""
"dever","devedor",NA,NA,"agent",""
"dever","dívida","dívidas","nomage: endettement",NA,""
"devotar","devoto",NA,NA,"agent",""
"devotar","devoção","devoções","nomlex","lex",""
"diferenciar","diferenciador",NA,NA,"agent",""
"diferenciar","diferença","diferenças","nomage: différence","lex",""
"diferenciar","diferenciação","diferenciações","nomlex",NA,""
"difrair","difrator",NA,NA,"agent",""
"difrair","difração","difrações","nomlex",NA,""
"difundir","difusor",NA,NA,"agent",""
"difundir","difusão","difusões","nomlex",NA,""
"diluir","diluição","diluições","nomlex",NA,""
"diminuir","diminuição","diminuições","nomlex",NA,""
"dirigir","diretor","diretores","nomlex","agent",""
"dirigir","direção","direções","nomlex",NA,""
"dirigir","diretoria",NA,"dhbb",NA,NA
"dirigir","dirigente",NA,"dhbb","agent",NA
"disatisfazer","disatisfação","disatisfações","nomlex",NA,""
"disciplinar","disciplinador",NA,NA,"agent",""
"disciplinar","disciplina","disciplinas","framenet",NA,""
"discordar","discórdia","discórdias","nomlex",NA,""
"discriminar","discriminante",NA,NA,"agent",""
"discriminar","discriminação","discriminações","nomlex",NA,""
"discutir","discursante",NA,NA,"agent",""
"discutir","discurso","discursos","framenet",NA,""
"discutir","discussão","discussões","nomlex",NA,""
"dispensar","dispensário",NA,NA,"agent",""
"dispensar","dispensa","dispensas","enwiktionary:pt",NA,""
"dispersar","dispersor",NA,NA,"agent",""
"dispersar","dispersão","dispersões","nomlex",NA,""
"dispor","disposição","disposições","nomlex",NA,""
"dispor","dispositivo",NA,"dhbb",NA,NA
"disputar","disputante",NA,NA,"agent",""
"disputar","disputa","disputas","nomlex",NA,""
"dissecar","dissecação","dissecações","nomlex",NA,""
"disseminar","disseminador",NA,NA,"agent",""
"disseminar","disseminação","disseminações","nomlex",NA,""
"dissentir","dissensão","dissensões","nomlex",NA,""
"dissimular","dissimulação","dissimulações","nomlex",NA,""
"dissociar","dissociação","dissociações","nomlex",NA,""
"dissolver","dissolução","dissoluções","nomlex",NA,""
"distinguir","distinção","distinções","nomage: distinction",NA,""
"distorcer","distorção","distorções","nomlex",NA,""
"distrair","distração","distrações","nomlex",NA,""
"distribuir","distribuidor","distribuidores","","agent",""
"distribuir","distribuição","distribuições","nomlex","lex",""
"disturbar","distúrbio","distúrbios","nomlex",NA,""
"ditar","ditado","dictations","nomlex","lex",""
"ditar","ditadura",NA,"openWordnet-PT",NA,NA
"divergir","divergência","divergências","nomlex",NA,""
"diversificar","diversifição","diversificações","nomlex",NA,""
"divertir","diversão","diversões","nomlex",NA,""
"divertir","divertimento","divertimentos","nomlex",NA,""
"dividir","divisão","divisões","nomlex",NA,""
"divulgar","divulgador","divulgadores","","agent",""
"divulgar","divulgação","divulgações","enwiktionary:pt",NA,""
"doar","doador",NA,NA,"agent",""
"doar","doação","doações","nomlex","lex",""
"documentar","documentação","documentações","nomlex",NA,""
"documentar","documento",NA,"dhbb",NA,NA
"domar","domador","domadores","enwiktionary:pt","agent",""
"dominar","dominante","dominantes","nomlex","agent",""
"dominar","dominação","dominações","nomlex",NA,""
"dominar","dominância","dominâncias","nomlex",NA,""
"dominar","domínio","domínios","nomlex",NA,""
"dotar","dotação","dotações","nomlex",NA,""
"dramatizar","dramatização","dramatizações","nomlex",NA,""
"drenar","dreno",NA,NA,"agent",""
"drenar","drenagem","drenagens","nomage: drainage",NA,""
"duplicar","duplicação","duplicações","nomlex",NA,""
"duvidar","dúvida","dúvidas","nomlex",NA,""
"eclodir","eclosão","eclosões","nomage: éclosion",NA,""
"editar","editor","editores","nomlex","agent",""
"editar","edição","edições","nomage: édition",NA,""
"editar","editorial",NA,"dhbb",NA,NA
"educar","educador",NA,NA,"agent",""
"educar","educação","educações","nomlex",NA,""
"efetuar","efetuação","efetuações","nomlex",NA,""
"elaborar","elaborador","elaboradores","","agent",""
"elaborar","elaboração","elaborações","enwiktionary:en",NA,""
"eleger","eleitor",NA,NA,"agent",""
"eleger","eleição","eleições","nomlex",NA,""
"eleger","eleito","eleitos","nomlex",NA,""
"elevar","elevador",NA,NA,"agent",""
"elevar","elevação","elevações","nomage: élévation","lex",""
"eliminar","eliminação","eliminações","nomlex",NA,""
"emancipar","emancipador",NA,NA,"agent",""
"emancipar","emancipação","emancipações","nomlex",NA,""
"embalar","embalador",NA,NA,"agent",""
"embalar","embalagem","embalagens","nomage: remplissage",NA,""
"embaraçar","embaraçamento","embaraçamentos","nomlex",NA,""
"embarcar","embarcador",NA,NA,"agent",""
"embarcar","embarque","embarques","nomlex","lex",""
"embarcar","embarcação",NA,"dhbb",NA,NA
"embocar","embocadura",NA,"openWordnet-PT",NA,NA
"embrulhar","embrulhador","embrulhadores","","agent",""
"embrulhar","embrulho","embrulhos","enwiktionary:en",NA,""
"emendar","emenda","emendas","nomage: amendement",NA,""
"emergir","emergente",NA,NA,"agent",""
"emergir","emergência","emergências","nomage: émergence",NA,""
"emigrar","emigrante",NA,NA,"agent",""
"emigrar","emigração","emigrações","nomlex",NA,""
"emitir","emissor",NA,NA,"agent",""
"emitir","emissão","emissões","nomlex",NA,""
"emitir","emissora",NA,"dhbb",NA,NA
"empenhar","empenho","empenhos","enwiktionary:en",NA,""
"empobrecer","empobrecimento","empobrecimentos","nomage: paupérisation",NA,""
"empreender","empresário",NA,"dhbb",NA,NA
"empregar","empregador","empregadores","nomlex","agent",""
"empregar","empregado","empregados","nomlex","agent",""
"empregar","emprego","empregos","nomlex",NA,""
"empregar","empregada","empregadas","framenet","other; lex",""
"emprestar","emprestador","emprestadores","nomlex","agent",""
"emprestar","empréstimo","empréstimos","nomlex",NA,""
"emprisionar","emprisionamento","emprisionamentos","nomlex",NA,""
"empunhar","empunhadura",NA,"openWordnet-PT",NA,NA
"empurrar","empurrão","empurrões","nomage: poussée",NA,""
"encadernar","caderno","cadernos","framenet",NA,""
"encaminhar","encaminhador",NA,NA,"agent",""
"encaminhar","encaminhamento","encaminhamentos","nomlex",NA,""
"encantar","encantador",NA,NA,"agent",""
"encantar","encanto","encantos","enwiktionary:en",NA,""
"encantar","encantamento","encantamentos","nomage: enchaînement",NA,""
"encarnar","encadernador",NA,NA,"agent",""
"encarnar","encarnação","encarnações","nomlex",NA,""
"encarregar","encarregado",NA,"dhbb",NA,NA
"encarregar","encargo",NA,"dhbb",NA,NA
"encerrar","encerramento","encerramentos","nomage: bouclage",NA,""
"encontrar","encontro","encontros","nomage: rassemblement",NA,""
"encorajar","encorajamento","encorajamentos","nomlex",NA,""
"endereçar","endereço","endereços","nomlex",NA,""
"endossar","endossador",NA,NA,"agent",""
"endossar","endosso","endossos","nomlex",NA,""
"endurecer","endurecedor",NA,NA,"agent",""
"endurecer","endurecimento","endurecimentos","nomage: durcissement","lex",""
"enferrujar","enferrujamento","enferrujamentos","enwiktionary:en",NA,""
"engajar","engajamento","engajamentos","nomlex",NA,""
"enganar","enganador",NA,NA,"agent",""
"enganar","engano","enganos","nomlex","lex",""
"enganar","enganação","enganações","framenet",NA,""
"engarrafar","engarrafador",NA,NA,"agent",""
"engarrafar","engarrafamento","engarrafamentos","nomage: embouteillage",NA,""
"engasgar","engasgo","engasgos","nomage: étouffement",NA,""
"engenhar","engenheiro",NA,"dhbb",NA,NA
"engordar","gordo",NA,NA,"agent",""
"engordar","engorda","engordas","nomage: alourdissement",NA,""
"enjoar","enjoo","enjoos","enwiktionary:en",NA,""
"enquadrar","enquadrador",NA,NA,"agent",""
"enquadrar","enquadramento","enquadramentos","enwiktionary:en",NA,""
"enquadrar","quadro",NA,"dhbb",NA,NA
"enriquecer","enriquecimento","enriquecimentos","nomlex",NA,""
"ensaiar","ensaiador","ensaiadores","","agent",""
"ensaiar","ensaio","ensaios","nomlex","lex",""
"ensejar","ensejo","ensejos","enwiktionary:en",NA,""
"ensinar","ensinador","ensinadores","","agent",""
"ensinar","ensinamento","ensinamentos","enwiktionary:pt",NA,""
"ensinar","ensino","ensinos","enwiktionary:pt",NA,""
"entender","entendimento",NA,"dhbb",NA,NA
"enterrar","enterro","enterros","nomlex",NA,""
"entonar","entonação","entonações","nomlex",NA,""
"entrar","entrada","entradas","nomlex",NA,""
"entregar","entregador","entregadores","","agent",""
"entregar","entrega","entregas","nomlex",NA,""
"entreter","entretenimento","entretenimentos","nomlex",NA,""
"entrevistar","entrevistador","entrevistadores","nomlex","agent",""
"entrevistar","entrevistado","entrevistados","nomlex","agent",""
"entrevistar","entrevista","entrevistas","nomlex",NA,""
"envelhecer","envelhecimento","envelhecimento","nomage: vieillissement",NA,""
"envergar","envergadura",NA,"openWordnet-PT",NA,NA
"enviar","enviador",NA,NA,"agent",""
"enviar","envio","envios","nomlex",NA,""
"enviuvar","viúvo","viúvos","framenet","agent",""
"envolver","envolvimento","envolvimentos","nomlex",NA,""
"envolver","envoltura",NA,"openWordnet-PT",NA,NA
"enxaguar","enxaguadura",NA,"openWordnet-PT",NA,NA
"equacionar","equação","equações","nomlex",NA,""
"equipar","equipe",NA,NA,"agent",""
"equipar","equipagem","equipagens","nomlex",NA,""
"equipar","equipamento","equipamentos","nomlex",NA,""
"erodir","erosão","erosões","nomlex",NA,""
"escalar","escalador",NA,NA,"agent",""
"escalar","escalação","escalações","nomlex",NA,""
"escandalizar","escândalo",NA,"dhbb",NA,NA
"escapar","escapada","escapadas","nomlex",NA,""
"escavar","escavador","escavadores",NA,"agent",""
"escavar","escavação","escavações","nomage: creusement",NA,""
"escavar","escavamento","escavamentos","nomage: creusement",NA,""
"escolher","escolha","escolhas","framenet",NA,""
"escorregar","escorregador",NA,NA,"agent",""
"escorregar","escorregamento","escorregamentos","nomage: glissement","lex",""
"escorregar","escorregão","escorregões","nomage: glissement",NA,""
"escorregar","escorrega","escorregas","enwiktionary:en",NA,""
"escravizar","escravo","escravos",NA,"agent",""
"escravizar","escravidão","escravidões","nomlex",NA,""
"escrever","escritor","escritores","nomlex","agent",""
"escrever","escritura","escrituras","nomage: écriture",NA,""
"escrever","escritório",NA,"dhbb",NA,NA
"esculpir","escultura",NA,"openWordnet-PT",NA,NA
"esfolar","esfoladura",NA,"openWordnet-PT",NA,NA
"esforçar","esforço","esforços","nomlex",NA,""
"esfregar","esfregador",NA,NA,"agent",""
"esfregar","esfregação","esfregações","nomlex","lex",""
"esgotar","esgotamento","esgotamentos","nomage: tarissement",NA,""
"esmagar","esmagamento","esmagamentos","nomage: écrasement",NA,""
"especializar","especialização","especializações","nomlex",NA,""
"especificar","especificação","especificações","nomlex",NA,""
"especular","especulador",NA,NA,"agent",""
"especular","especulação","especulações","nomlex",NA,""
"esperar","esperança","esperanças","nomlex",NA,""
"esquecer","esquecimento","esquecimentos","enwiktionary:pt",NA,""
"esquemar","esquema",NA,"dhbb",NA,NA
"estabelecer","estabelecimento","estabelecimentos","nomlex",NA,""
"estabilizar","estabilizador",NA,NA,"agent",""
"estabilizar","estabilização","estabilizações","nomlex",NA,""
"estabilizar","estabilidade",NA,"dhbb",NA,NA
"estagiar","estagiário","estagiários","nomlex","agent",""
"estagnar","estagnação","estagnações","nomage: stagnation",NA,""
"estatizar","estatização",NA,"dhbb",NA,NA
"estender","extensor",NA,NA,"agent",""
"estender","extensão","extensões","nomlex",NA,""
"esterilizar","esterilizador",NA,NA,"agent",""
"esterilizar","esterilização","esterilizações","nomlex",NA,""
"estigmatizar","estigma","estigmas","framenet",NA,""
"estimar","estimativa","estimativas","nomlex",NA,""
"estimular","estimulante","estimulantes",NA,"agent",""
"estimular","estímulo","estímulos","nomlex",NA,""
"estrategizar","estratégia",NA,"dhbb",NA,NA
"estremecer","estremecimento","estremecimentos","nomage: frémissement",NA,""
"estruturar","estruturação","estruturações","nomage: structuration",NA,""
"estruturar","estrutura",NA,"dhbb",NA,NA
"estudar","estudante","estudantes","framenet","agent",""
"estudar","estudo","estudos","nomlex",NA,""
"estupefar","estupefação","estupefações","nomlex",NA,""
"estuprar","estuprador","estupradores","framenet","agent",""
"estuprar","estupro","estupros","framenet",NA,""
"evacuar","evacuação","evacuações","nomlex",NA,""
"evacuar","evacuado","evacuados","nomlex",NA,""
"evadir","evasão","evasões","nomlex",NA,""
"evaporar","evaporação","evaporações","nomlex",NA,""
"evidenciar","evidência","evidências","nomlex",NA,""
"evitar","evitação","evitações","nomlex",NA,""
"evocar","evocação","evocações","nomage: évocation",NA,""
"evoluir","evolução","evoluções","nomlex",NA,""
"exacerbar","exacerbação","exacerbações","nomage: exacerbation",NA,""
"exagerar","exagerador",NA,NA,"agent",""
"exagerar","exagero","exageros","nomlex",NA,""
"examinar","examinador","examinadores","nomlex","agent",""
"examinar","exame","exames","framenet",NA,""
"examinar","examinação","examinações","nomlex",NA,""
"exasperar","exasperante",NA,NA,"agent",""
"exasperar","exasperação","exasperações","nomlex",NA,""
"excisar","excisão","excisões","nomlex",NA,""
"exclamar","exclamação","exclamações","nomlex",NA,""
"excluir","exclusão","exclusões","nomlex",NA,""
"executar","executor","executores",NA,"agent",""
"executar","execução","execuções","nomlex",NA,""
"executar","executivo",NA,"dhbb",NA,NA
"exercitar","exercício",NA,"dhbb",NA,NA
"exibir","exibicionista",NA,NA,"agent",""
"exibir","exibição","exibições","nomlex",NA,""
"exigir","exigência","exigências","nomlex",NA,""
